"","mgrade01","ssatyn01","mdcut01","rdcut01","mret02","zmscr02","zrscr02","mmscr00","mrscr00"
"28162",5,0,-1,3,0,-0.568706214427948,-0.407271206378937,620,607
"28163",5,0,27,61,0,0.0831484198570251,0.117464385926723,650,668
"28164",5,0,9,27,0,-0.0430169925093651,-1.04247748851776,636,628
"28165",5,0,76,93,0,1.28171992301941,2.24402451515198,751,764
"28166",5,0,52,42,0,0.293424099683762,0.918376624584198,698,672
"28167",5,1,-84,-55,1,-1.01028513908386,-1.89862501621246,565,601
"28168",5,1,-37,11,0,-0.421513229608536,0.117464385926723,593,616
"28169",5,0,18,54,0,0.02006571367383,0.117464385926723,639,649
"28170",5,0,36,65,0,0.524727404117584,0.780288338661194,655,690
"28171",5,0,18,61,0,0.146231129765511,0.531729340553284,628,655
"28172",5,1,-27,-7,0,-0.989257633686066,-0.711065530776978,572,602
"28173",5,0,62,61,0,0.924251198768616,0.918376624584198,662,666
"28174",5,0,33,48,0,1.28171992301941,0.117464385926723,658,676
"28175",5,0,57,65,0,0.60883766412735,0.531729340553284,659,667
"28176",5,0,-8,27,0,-0.232265114784241,-0.490124225616455,609,613
"28177",5,0,6,7,0,-0.568706214427948,-0.655830204486847,611,627
"28178",5,0,62,74,0,1.28171992301941,0.531729340553284,691,671
"28179",5,1,-4,7,0,0.02006571367383,-0.26918289065361,614.884399414062,616
"28180",5,0,52,69,0,2.14385008811951,1.3326416015625,667,697
"28181",5,0,-50,24,0,-1.32569873332977,-1.12533044815063,594,573
"28182",5,0,33,48,0,-0.10609970241785,-0.959624469280243,648,636
"28183",5,0,36,61,0,-0.358430534601212,0.310788035392761,634,660
"28184",5,0,6,-13,0,-3.99620008468628,-2.03671336174011,600,613
"28185",5,0,-37,42,0,-1.8513879776001,-1.20818340778351,601,634
"28186",5,0,-70,-7,0,-2.10371875762939,-2.23003697395325,592,592
"28187",5,0,36,36,0,0.356506824493408,-0.103476919233799,641,626
"28188",5,0,24,61,0,0.02006571367383,0.642199993133545,652,643
"28189",5,0,57,79,0,0.60883766412735,1.3326416015625,672,686
"28190",5,0,57,39,0,0.60883766412735,0.0346113964915276,660,705
"28191",5,1,-23,-7,0,-0.989257633686066,-0.186329916119576,589,622
"28192",5,0,49,69,0,0.0831484198570251,0.642199993133545,654,676
"28193",5,0,15,27,0,-0.421513229608536,-0.572977185249329,619,602
"28194",5,0,-1,27,0,-0.169182404875755,-0.407271206378937,626,583
"28195",5,0,9,33,0,-1.32569873332977,-0.572977185249329,607,632
"28196",5,0,-8,33,0,-0.715899229049683,-0.26918289065361,616,635
"28197",5,1,-27,24,0,-1.47289168834686,-0.793918490409851,621,615
"28198",5,0,52,85,0,1.07144415378571,0.227935045957565,638,668
"28199",5,1,-1,-13,1,-0.33740296959877,-0.46250656247139,617.748413085938,574
"28200",5,0,76,61,0,1.07144415378571,1.3326416015625,673,668
"28201",5,1,-19,24,1,-0.652816474437714,-0.0758592560887337,593,629
"28202",5,1,-23,7,0,-0.484595954418182,-0.572977185249329,599,630
"28203",5,0,36,65,0,0.60883766412735,1.11170029640198,675,654
"28204",5,0,9,45,0,-1.47289168834686,-0.407271206378937,642,670
"28205",5,0,39,11,0,0.692947924137115,-0.186329916119576,690,694
"28206",5,1,-4,-39,0,-0.484595954418182,-0.186329916119576,612,623
"28207",5,0,-152,11,1,-1.99858093261719,-1.89862501621246,448,513
"28208",5,0,33,61,0,0.524727404117584,0.531729340553284,680,669
"28209",5,0,9,24,0,-0.232265114784241,-0.186329916119576,626.173095703125,629.461059570312
"28210",5,0,18,45,0,-0.232265114784241,0.642199993133545,634.289794921875,637.298645019531
"28211",5,0,30,36,0,-0.0430169925093651,-0.0482415929436684,643,645
"28212",5,1,33,24,0,-0.358430534601212,-0.655830204486847,640,601
"28213",5,1,-8,30,0,0.230341404676437,-0.103476919233799,626,585
"28214",5,1,49,33,0,0.924251198768616,0.531729340553284,661,701
"28215",5,0,15,11,0,-0.295347839593887,-0.103476919233799,627,626
"28216",5,0,21,18,0,0.0831484198570251,-1.29103648662567,638,606
"28217",5,1,-4,-7,0,-0.484595954418182,0.421258687973022,628,631
"28218",5,1,-19,18,0,-0.232265114784241,-0.0482415929436684,615,634
"28219",5,1,-37,-39,0,-1.64111220836639,-1.12533044815063,584.854187011719,591.898803710938
"28220",5,0,-15,48,0,-0.800009489059448,-0.0482415929436684,604,633
"28221",5,0,-4,45,0,-0.484595954418182,0.117464385926723,635,636
"28222",5,1,21,21,0,0.798085749149323,0.0346113964915276,630,615
"28223",5,0,42,24,0,1.07144415378571,0.0346113964915276,662,674
"28224",5,0,-11,18,0,-0.631788909435272,-0.490124225616455,595,579
"28225",5,0,9,48,0,0.293424099683762,0.780288338661194,610,636
"28226",5,1,-43,30,0,-0.884119749069214,-0.793918490409851,596,617
"28227",5,0,-50,39,0,-3.07098698616028,-0.103476919233799,598,617
"28228",5,0,52,61,0,1.28171992301941,1.66405355930328,681,679
"28229",5,0,90,79,0,1.57610583305359,1.3326416015625,716,701
"28230",5,0,39,27,0,0.293424099683762,-0.186329916119576,650,628
"28231",5,0,57,74,0,1.07144415378571,1.11170029640198,653,710
"28232",5,0,-15,3,0,-0.0430169925093651,0.0346113964915276,613,656
"28233",5,0,-105,-143,0,-1.19953334331512,-1.73291909694672,559,558.063171386719
"28234",5,0,18,42,0,0.924251198768616,0.780288338661194,658,686
"28235",5,1,-4,51,0,-1.19953334331512,-0.352035880088806,614.884399414062,620.750244140625
"28236",5,0,76,42,0,0.524727404117584,-0.103476919233799,652,639
"28237",5,0,49,69,0,0.924251198768616,1.11170029640198,695,693
"28238",5,0,6,3,0,-0.421513229608536,-0.352035880088806,627,616
"28239",5,0,27,45,0,-0.169182404875755,0.227935045957565,628,634
"28240",5,0,76,65,0,0.924251198768616,0.918376624584198,670,660
"28241",5,1,-37,3,0,-0.989257633686066,-0.490124225616455,595,600
"28242",5,1,36,-19,0,0.692947924137115,-0.959624469280243,658,610
"28243",5,1,-59,15,0,-2.10371875762939,0.227935045957565,596,599
"28244",5,0,18,21,0,0.356506824493408,-0.186329916119576,631,604
"28245",5,0,12,42,0,-0.10609970241785,-0.186329916119576,625,631
"28246",5,1,-43,24,0,-0.568706214427948,0.227935045957565,612,645
"28247",5,0,42,69,0,2.14385008811951,1.11170029640198,713,756
"28248",5,0,76,57,0,2.14385008811951,1.11170029640198,720,701
"28249",5,1,33,45,0,0.524727404117584,-0.711065530776978,639,629
"28250",5,0,39,48,0,0.924251198768616,0.0346113964915276,644,639
"28251",5,0,-4,48,0,-0.295347839593887,0.227935045957565,634,679
"28252",5,1,-37,-39,1,-0.463568389415741,-0.0206239297986031,596,591.898803710938
"28253",5,1,6,-7,0,-0.715899229049683,-1.04247748851776,590,653
"28254",5,0,57,61,0,0.924251198768616,0.642199993133545,684,712
"28255",5,0,-37,-143,0,-2.4611873626709,-1.73291909694672,571,547
"28256",5,1,-23,-2,0,-1.8513879776001,-1.04247748851776,572,610
"28257",5,0,27,27,0,0.356506824493408,0.421258687973022,640,629
"28258",5,1,-1,65,0,0.0831484198570251,-0.26918289065361,636,641
"28259",5,0,36,69,0,1.28171992301941,0.780288338661194,680,692
"28260",5,0,-4,7,0,-0.884119749069214,-1.20818340778351,626,616
"28261",5,0,42,69,0,0.293424099683762,0.117464385926723,659,660.657409667969
"28262",5,0,49,79,0,0.692947924137115,1.3326416015625,653,653
"28263",5,0,18,18,0,0.0831484198570251,-0.572977185249329,633,629
"28264",5,0,6,18,0,-0.800009489059448,-0.959624469280243,611,620
"28265",5,0,49,54,0,1.07144415378571,1.3326416015625,687,661
"28266",5,0,90,74,0,2.14385008811951,0.780288338661194,668,693
"28267",5,0,33,51,0,0.60883766412735,0.421258687973022,660,662
"28268",5,1,-23,30,1,-0.190209984779358,-1.12533044815063,613,591
"28269",5,0,76,79,0,1.57610583305359,1.66405355930328,716,731
"28270",5,0,42,42,0,0.60883766412735,0.780288338661194,677,680
"28271",5,0,39,42,0,1.28171992301941,0.642199993133545,654.404418945312,658.223510742188
"28272",5,0,12,24,0,-0.10609970241785,-0.26918289065361,623,626
"28273",5,1,-11,7,0,-0.568706214427948,-0.572977185249329,668,617
"28274",5,1,-43,-39,0,-3.07098698616028,-1.12533044815063,587,580
"28275",5,0,36,51,0,1.07144415378571,0.642199993133545,658,663
"28276",5,0,-23,39,0,-0.568706214427948,-0.26918289065361,619,645
"28277",5,0,2,48,0,-0.421513229608536,-0.26918289065361,629,617
"28278",5,0,30,74,0,0.692947924137115,0.642199993133545,633,646
"28279",5,0,57,172,0,1.57610583305359,2.24402451515198,687,700
"28280",5,0,18,33,0,-0.10609970241785,-0.0482415929436684,627,646
"28281",5,0,-19,-55,0,-1.09439539909363,-1.87100744247437,627,592
"28282",5,0,12,30,0,-0.631788909435272,-0.352035880088806,620,633.030395507812
"28283",5,0,168,61,0,1.57610583305359,0.918376624584198,721,698
"28284",5,1,-32,15,0,-1.64111220836639,-1.20818340778351,582,616
"28285",5,1,-15,24,0,-1.09439539909363,-0.711065530776978,595,610
"28286",5,0,76,93,0,1.57610583305359,4.01155519485474,746,756
"28287",5,0,39,93,0,0.692947924137115,1.66405355930328,660,677
"28288",5,0,52,79,0,1.07144415378571,1.66405355930328,650,731
"28289",5,0,-1,51,0,-0.715899229049683,0.642199993133545,617.748413085938,621.668823242188
"28290",5,1,6,-2,0,0.356506824493408,-0.655830204486847,644,570
"28291",5,1,-84,-28,0,-1.32569873332977,-0.876771509647369,589,612
"28292",5,0,76,45,0,2.14385008811951,1.11170029640198,675,645
"28293",5,1,15,18,0,-0.295347839593887,-0.959624469280243,631.908508300781,635.6259765625
"28294",5,0,36,33,0,-0.295347839593887,-0.103476919233799,658,633
"28295",5,0,-59,-2,1,-1.74625015258789,-0.711065530776978,571,575.049499511719
"28296",5,0,39,33,0,0.692947924137115,-0.0482415929436684,636,605
"28297",5,0,-15,36,0,-0.10609970241785,0.227935045957565,633,633
"28298",5,0,57,74,0,1.28171992301941,1.11170029640198,717,699
"28299",5,0,33,74,0,0.440617084503174,0.531729340553284,648.5,651.926391601562
"28300",5,0,2,36,0,-0.0430169925093651,0.918376624584198,631,650
"28301",5,0,15,21,0,0.440617084503174,0.0346113964915276,635,672
"28302",5,0,57,69,0,2.14385008811951,0.531729340553284,672,647
"28303",5,0,24,48,0,0.230341404676437,-0.655830204486847,628,677
"28304",5,1,-4,7,0,-0.631788909435272,-0.572977185249329,631,624
"28305",5,0,2,69,0,-0.358430534601212,0.531729340553284,631,662
"28306",5,0,9,36,0,-0.484595954418182,-0.352035880088806,630,633
"28307",5,0,45,27,0,0.798085749149323,-0.407271206378937,655,628
"28308",5,0,-4,30,0,-0.358430534601212,-0.352035880088806,607,617
"28309",5,1,-11,15,0,-0.884119749069214,-0.490124225616455,609.077819824219,591
"28310",5,0,-84,-143,0,-0.800009489059448,-2.03671336174011,541,512
"28311",5,0,45,65,0,0.798085749149323,0.918376624584198,674,685
"28312",5,0,2,24,0,-0.715899229049683,-0.959624469280243,620,618
"28313",5,0,-8,79,0,-0.0430169925093651,0.421258687973022,611.672973632812,616.048461914062
"28314",5,0,21,36,0,0.146231129765511,-0.103476919233799,642,609
"28315",5,1,-84,-39,0,-1.09439539909363,-1.87100744247437,448,541
"28316",5,1,-1,54,0,-0.0430169925093651,0.780288338661194,618,639
"28317",5,0,-1,27,0,-0.10609970241785,-0.26918289065361,617.748413085938,621.668823242188
"28318",5,0,-8,33,0,-0.295347839593887,-0.655830204486847,622,599
"28319",5,0,42,74,0,0.924251198768616,4.01155519485474,663,697
"28320",5,0,49,54,0,0.440617084503174,0.117464385926723,650,649
"28321",5,0,33,33,0,0.692947924137115,0.642199993133545,669,687
"28322",5,0,18,48,0,0.293424099683762,0.227935045957565,649,624
"28323",5,0,12,-28,0,-0.0430169925093651,-0.793918490409851,628,594
"28324",5,1,-84,-13,1,-1.99858093261719,-1.31865417957306,588,582
"28325",5,0,30,61,0,0.60883766412735,0.780288338661194,650,676
"28326",5,0,45,74,0,0.293424099683762,1.11170029640198,645,638
"28327",5,0,30,57,0,-0.169182404875755,0.117464385926723,642,616
"28328",5,0,33,61,0,1.28171992301941,0.780288338661194,661,666
"28329",5,0,30,42,0,0.02006571367383,0.780288338661194,631,680
"28330",5,0,24,48,0,0.524727404117584,0.531729340553284,647,674
"28331",5,1,12,48,0,1.57610583305359,0.117464385926723,627,623
"28332",5,0,18,30,0,0.293424099683762,0.310788035392761,628,654
"28333",5,0,36,61,0,-0.10609970241785,0.642199993133545,651.691589355469,655.900451660156
"28334",5,0,12,51,0,-0.715899229049683,0.531729340553284,648,656
"28335",5,1,-8,21,0,-0.421513229608536,-0.793918490409851,628,640
"28336",5,0,24,7,0,0.293424099683762,-0.876771509647369,638,646
"28337",5,0,18,33,0,-0.800009489059448,-0.793918490409851,625,605
"28338",5,0,24,33,0,0.230341404676437,-0.0482415929436684,658,643.204956054688
"28339",5,1,-11,-2,0,-0.232265114784241,-1.04247748851776,638,623
"28340",5,1,-27,39,0,-1.32569873332977,-0.572977185249329,612,649
"28341",5,0,57,48,0,1.28171992301941,1.3326416015625,706,677
"28342",5,0,21,45,0,0.146231129765511,0.227935045957565,652,667
"28343",5,0,-4,42,0,-0.484595954418182,0.421258687973022,612,615
"28344",5,0,15,33,0,0.02006571367383,-0.186329916119576,642,644
"28345",5,0,-37,3,0,-0.295347839593887,-0.572977185249329,618,627
"28346",5,0,52,39,0,0.692947924137115,0.227935045957565,659,655
"28347",5,0,62,79,0,1.57610583305359,4.01155519485474,672,714
"28348",5,0,15,7,0,-0.0430169925093651,-1.04247748851776,626,624
"28349",5,0,33,18,0,0.924251198768616,-0.490124225616455,631,598
"28350",5,1,-37,-19,0,-0.295347839593887,-1.62244844436646,653,626
"28351",5,0,42,93,0,0.440617084503174,0.531729340553284,654,660
"28352",5,0,12,39,0,-0.169182404875755,0.227935045957565,628,640
"28353",5,0,18,65,0,0.60883766412735,0.310788035392761,642,648
"28354",5,0,45,33,0,0.924251198768616,0.918376624584198,644,647
"28355",5,0,-43,24,0,-1.32569873332977,-0.0482415929436684,577,634
"28356",5,0,68,39,0,1.28171992301941,0.642199993133545,707,678
"28357",5,0,18,57,0,-0.10609970241785,0.117464385926723,640,650
"28358",5,0,27,39,0,0.924251198768616,0.642199993133545,678,651
"28359",5,0,2,36,0,-0.232265114784241,0.421258687973022,619,663
"28360",5,1,-4,15,0,-0.715899229049683,-0.26918289065361,609,628
"28361",5,0,2,42,0,-0.358430534601212,-0.186329916119576,631,629
"28362",5,0,-11,21,0,0.02006571367383,-1.04247748851776,626,600
"28363",5,1,-8,-7,0,-0.169182404875755,-0.572977185249329,597,610
"28364",5,0,39,54,0,0.524727404117584,0.642199993133545,664,677
"28365",5,0,18,33,0,-0.421513229608536,-0.186329916119576,641,610
"28366",5,0,6,21,0,-0.800009489059448,-0.655830204486847,586,592
"28367",5,0,24,51,0,-0.715899229049683,-0.186329916119576,612,620
"28368",5,1,-4,21,0,-0.295347839593887,0.117464385926723,598,602
"28369",5,0,-15,79,0,0.02006571367383,0.310788035392761,615,641
"28370",5,0,68,74,0,1.07144415378571,0.780288338661194,670,684
