"","learn","x","agelfted","sex","datyear"
"544",9.74163189107894,64,16,"male",84
"546",9.14885634777616,56,15,"male",84
"549",8.90530866118929,41,14,"female",84
"550",9.34487126493379,53,15,"male",84
"551",7.9974479416037,59,15,"female",84
"554",9.13089018078737,57,14,"male",84
"561",9.07574323307436,39,16,"male",84
"570",8.79022043080842,57,17,"male",84
"575",9.24790970733136,65,17,"male",84
"577",8.79495823470644,65,15,"male",84
"579",8.46012327320088,36,14,"male",84
"580",8.592938668388,37,14,"female",84
"585",8.29400966127554,46,14,"male",84
"586",8.46878419970854,50,15,"male",84
"587",8.92265296096848,59,15,"male",84
"588",7.37257045313295,62,15,"female",84
"589",9.49450523112241,35,14,"male",84
"590",8.39389497507174,46,16,"female",84
"592",8.91555579258112,55,15,"male",84
"593",7.21394501579975,57,15,"female",84
"596",8.81877816903701,53,15,"male",84
"597",9.44051198103393,48,16,"male",84
"608",7.08977680297778,54,15,"male",84
"609",8.73873546136347,48,16,"female",84
"610",8.95606209713275,55,15,"male",84
"611",9.89896533096963,62,18,"male",84
"613",8.88182518298049,39,16,"male",84
"616",7.58882987830781,54,15,"female",84
"631",7.93316584788681,62,15,"female",84
"635",9.15678763964454,63,23,"female",84
"637",8.69495774998842,56,15,"female",84
"638",8.4675826908629,52,15,"female",84
"646",8.69617584694468,35,14,"male",84
"648",8.49655771348998,39,14,"male",84
"651",10.0432320864717,62,21,"female",84
"652",5.64318280064868,45,18,"male",84
"664",8.88182518298049,44,14,"male",84
"665",8.51026524461013,63,16,"male",84
"667",4.93706051748387,64,16,"female",84
"678",7.02439986302889,63,16,"female",84
"679",8.87479490303873,45,16,"male",84
"687",8.366100461499,50,15,"female",84
"693",8.85362545793062,35,17,"male",84
"694",9.20748826169867,42,22,"female",84
"697",8.8378263640077,47,14,"male",84
"699",8.40302961080612,54,15,"male",84
"700",8.20926489720105,54,15,"female",84
"704",7.64012317269536,61,15,"female",84
"706",8.50512061018197,52,15,"female",84
"715",8.1932896639531,60,15,"female",84
"719",7.28344822875663,43,17,"female",84
"720",10.0910205225721,61,21,"male",84
"722",8.78354947715327,47,14,"male",84
"723",7.12929754892937,53,15,"female",84
"724",9.25881808034234,50,20,"female",84
"725",8.95612915299417,54,15,"male",84
"726",6.47537111538097,58,16,"female",84
"731",8.39542316553235,39,14,"female",84
"741",8.51559191004926,39,14,"male",84
"745",8.78752562553291,48,15,"male",84
"749",9.45949784244869,59,15,"male",84
"750",7.72170318132379,61,14,"female",84
"753",9.35819128334865,42,14,"male",84
"754",7.92511408496668,40,14,"female",84
"758",8.82123670305022,49,17,"male",84
"759",7.50287057388326,53,15,"female",84
"762",9.01263551062197,47,15,"male",84
"763",6.70426729131109,53,15,"female",84
"765",8.89288614119073,36,14,"male",84
"767",9.57828910538747,61,16,"male",84
"771",9.8034461983559,59,17,"male",84
"773",7.89165975470041,43,14,"female",84
"779",8.8650009101139,44,14,"male",84
"782",9.75728187133584,60,16,"male",84
"784",8.72014710930706,54,15,"male",84
"787",5.20114543125344,65,21,"male",84
"788",8.83616461521334,64,21,"female",84
"789",10.222080904589,53,24,"male",84
"790",6.25382881157547,57,18,"female",84
"791",8.85362545793062,60,16,"male",84
"793",8.89288614119073,42,14,"male",84
"795",8.81376565625103,54,15,"male",84
"796",8.21392359562274,57,16,"female",84
"800",9.07681355523405,61,15,"male",84
"801",6.03068526026126,61,17,"female",84
"807",8.6741969402259,65,15,"male",84
